taker_address,n_copy_trades,n_wins,hit_rate,pnl_total,pnl_mean
0xf705fa045201391d9632b7f3cde06a5e24453ca7,6665,3016,0.4525131282820705,328479.55103036563,49.28425371798434
0x204f72f35326db932158cba6adff0b9a1da95e14,154269,79910,0.5179913009094503,309911.2427952069,2.008901612088021
0x06dcaa14f57d8a0573f5dc5940565e6de667af59,10627,5932,0.5582008092594335,252321.3235581358,23.74341992642663
0xae363845352952cdea784f581e9ee99a219c8fb5,12617,7366,0.5838154870412935,249755.67766095736,19.795171408493093
0xb1fa1aa03ce4f1f4e259cda433e7fdaf80f91a14,504,317,0.628968253968254,136654.20758736163,271.1393007685746
0xf699a6477fa8e385987f8ae6a3657b2e106107e1,9922,6039,0.6086474501108647,123446.59245617413,12.441704541037506
0xe2b1fc269d0c2e27da11fadd1d9596fe28227d2a,10758,5463,0.5078081427774679,99081.23891667098,9.210005476544987
0xb7d54bf1d0a362beb916d9cb58a04c41d67e0789,137164,113321,0.8261715902131754,80941.55300375939,0.5901078490256874
0xd3989ba133ab48b5b3a81e3dba9b37b5966a46d7,11564,6188,0.5351089588377724,76569.14727357491,6.621337536628754
0x7d8a547ecae47a031ea46fff45876e400c28217a,76482,34619,0.4526424518187286,75977.02138726752,0.9933974188340724
0xc57b3e98276eb1009073b38320bfa668c0c50a2b,873,325,0.3722794959908362,62137.0482005589,71.1764584198842
0x01bf5a33d51493dc310470a9f3153cdfae81070d,125,107,0.856,58506.00050128294,468.0480040102635
0x17db3fcd93ba12d38382a0cade24b200185c5f6d,1078,910,0.8441558441558441,57585.06930388173,53.41843163625393
0x4e56f1ddaa8f5328036c449b89e731ec748cdee1,5694,2692,0.4727783631893221,56166.28836155719,9.86411808246526
0x49b60d2cda22653ddc8b6ef21bad6d012a7f170c,4142,2176,0.5253500724287784,55729.44283742528,13.454718212801854
0x00e2d8f88b39d9b430c136c679369f41101cd56a,3661,2683,0.7328598743512701,51349.15309231086,14.025991011284036
0xf6733392f5cf1fb0498d58ae72c50c282da1406f,5900,3068,0.52,51296.920497976156,8.694393304741721
0x1d0d81f55610df0adaaa0da37611f1f4556cef5f,1144,626,0.5472027972027972,50247.201235678076,43.9223787025158
0x0a854897a06d4999e5b2dde5693609f1428ffe9d,1531,627,0.40953625081645983,47634.91031170059,31.113592626845584
0x86793ad1e8f33ae23bcaf93200ec5c7bd2664659,4238,2670,0.6300141576215196,42289.47072322026,9.978638679381847
0x066d64fa7b2e352b9000a51c6b56f53128cce6e6,739,626,0.8470906630581867,42091.42163209665,56.95726878497517
0xd38b71f3e8ed1af71983e5c309eac3dfa9b35029,3111,1475,0.4741240758598521,35152.6746810276,11.299477557385922
0xc7d88a8f8331b719d1a23bfde4f60fea4f71a0a6,4156,3069,0.7384504331087585,35081.0613895428,8.441063856964101
0x96e17ba97e081732a552f410eb35ee972cad50aa,3177,1726,0.5432798237330815,32885.16641355205,10.35101240590244
0x118689b24aead1d6e9507b8068d056b2ec4f051b,1874,1043,0.5565635005336179,32868.07152510052,17.538992275934106
0xf301e0475240f644b72793d3ba3653fb1f484ce1,377,182,0.4827586206896552,31325.471899134645,83.09143739823513
0x20e6e192cc7d036e25136bb535e10aad89af95c4,76,40,0.5263157894736842,31136.414539663394,409.689664995571
