category,n_trades,pnl,hit_rate
Sports,621505,207471.43767910454,0.634006162460479
Weather,29418,167161.91815067703,0.6179549935413692
Culture,168116,-296505.69308395486,0.6781210592686002
Tech,137975,-602664.6699723097,0.7247907229570575
Finance,86619,-1234234.0422446283,0.6208799455084912
Politics,494689,-1438380.481973933,0.6304708614907548
Crypto,2813202,-7003369.731335403,0.5510425486687411
