taker_address,n_copy_trades,n_wins,hit_rate,pnl_total,pnl_mean
0x1d949489f736378cbde40db18c093c5cff459100,76327,32578,0.42682143933339445,678197.4560465977,8.885420048562077
0xa6a856a8c8a7f14fd9be6ae11c367c7cbb755009,88609,43802,0.4943290184969924,432096.37279323157,4.876438880849931
0xed61f86bb5298d2f27c21c433ce58d80b88a9aa3,13803,7181,0.5202492211838006,288012.3489433211,20.86592399792227
0x204f72f35326db932158cba6adff0b9a1da95e14,544131,279903,0.5144037005794561,282222.5219567593,0.5186665011858528
0xf898dc38744d9e173bcaadef0647ceb42ad8e720,31297,16212,0.5180049205994185,164399.6933729095,5.252889841611321
0x344be5d62f3dc2f412395ebbd45ac89f8bf0f7fc,6025,2918,0.4843153526970954,123048.50520204104,20.42298841527652
0xd6f44883f664d7dc963d8b89c5a0689fdd330566,35455,18645,0.525877873360598,107375.96563961881,3.0285140499116854
0x5b8e1ac396de463145b390a2dde1eddfc7e95c3c,29292,15728,0.5369384132186262,88279.03955778581,3.0137593731321117
0x1cbea0d402f7e9179252c66599c26a37e1d712bc,10818,5743,0.5308744684784619,85749.26392858228,7.926535767108733
0x51393c00184b39182f09a8a62b8549642e69a8db,33167,17965,0.5416528477100733,54694.421126245004,1.6490614504249708
0x96e17ba97e081732a552f410eb35ee972cad50aa,7359,4025,0.5469493137654573,53990.800494690906,7.33670342365687
0xc5b5bbd42624a8f0c8dfa90221913007d8c77e80,11036,5647,0.511689017760058,49689.96047921786,4.5025335700632345
0x1b5e20a28d7115f10ce6190a5ae9a91169be83f8,3825,2118,0.5537254901960784,48796.44564589165,12.757240691736378
0x0f8eb0d3521f61b7a83428c321dd7fb296c63082,17781,8580,0.48253754007086214,47730.38176987734,2.68434743658272
0xa92579f21a36bcda2c6f073fc9764481bb90e1c8,5648,3062,0.5421388101983002,43177.79295741096,7.644793370646416
0xa408e0f79131086fdc724f1fa7784259ceb9e305,15349,7541,0.4913023649749169,35853.58083580304,2.335890340465375
