taker_address,n,wins,pnl_total,pnl_mean,pnl_std,hit_rate,sharpe_analog
0xed61f86bb5298d2f27c21c433ce58d80b88a9aa3,13803,7181,288012.3489433211,20.86592399792227,168.32409361362875,0.5202492211838006,0.12396278839212363
0x1cbea0d402f7e9179252c66599c26a37e1d712bc,10818,5743,85749.26392858228,7.926535767108733,104.6117563247628,0.5308744684784619,0.07577098450102622
0x96e17ba97e081732a552f410eb35ee972cad50aa,7359,4025,53990.800494690906,7.33670342365687,127.18496866162805,0.5469493137654573,0.057685302759133104
0x1b5e20a28d7115f10ce6190a5ae9a91169be83f8,3825,2118,48796.44564589165,12.757240691736378,106.45394705971133,0.5537254901960784,0.11983811821069147
0xa92579f21a36bcda2c6f073fc9764481bb90e1c8,5648,3062,43177.79295741096,7.644793370646416,135.4085177838609,0.5421388101983002,0.05645725612955188
0x5fe0c26ab86beee51a32e726559b8fadace5d994,5843,3035,32344.880788492723,5.535663321665706,127.54768236586806,0.519424952935136,0.04340073625004618
0x145c5dad6033a1de0930dc1ec9ae107fc61f43bc,1460,955,30903.05966230004,21.166479220753452,90.87956334519902,0.6541095890410958,0.23290692034197186
0x3f085518960a0462b5b9dc076c909dd77cd7ed44,2371,1333,28259.679196492427,11.918886206871543,139.63731395488793,0.5622100379586672,0.0853560260456036
0x5d5ebe07e4ef91beef558605383cef07d4347004,2262,1149,24992.38578129943,11.048800080150057,140.37368292234163,0.5079575596816976,0.07870991093296698
0x36793b6050bbebb198d652f2975f19531d442bac,3791,2033,24732.476547335307,6.523998034116409,123.09888803797574,0.5362701134265365,0.052998025718183336
0x5fad92854594fe545456ccffd92749e65d241d0a,276,214,19948.20887014027,72.27611909471113,206.29835022980572,0.7753623188405797,0.35034753799145396
0x2ac130ba3b2a5fcff85c62afe18760f45db345db,424,265,17115.726156441637,40.36727867085292,135.18389392890867,0.625,0.29861011913210245
0x21e64338c32e39ecdc56c9dda2fa4bf81d3dcbd8,499,281,15394.604715631363,30.850911253770267,134.41715593923172,0.56312625250501,0.2295161732756611
0x78f7ba025c366404e74c4315d2895bda4ce62c5d,1095,638,14530.937002191144,13.270262102457666,108.6188454981106,0.582648401826484,0.12217274121817562
0xe8e126c2e5e02a7e44c80c46e1452081326777bf,1691,885,13628.730379869368,8.05956852742127,106.5109513366544,0.5233589591957422,0.07566891879452842
0x8c58ca0aa244274d589cbd502167983d4c1de330,1409,803,13580.560486923338,9.638438954523306,125.65513096824122,0.5699077359829666,0.076705494477256
0x52b4c780a1235a767ee188dd1887a196714834a8,2531,1294,13269.172871870642,5.2426601627304,121.13160416473855,0.5112603713947057,0.043280696221940564
0xd1ad008f3b556231878dd59ee6fd1b45c925fabc,831,465,13266.516015517409,15.964519874268843,156.50698806109088,0.5595667870036101,0.10200515690735329
0x3df855f1eeda7e33841065af22ec85e5225aa696,338,247,13189.514752728717,39.022232996238806,89.42190609410719,0.7307692307692307,0.4363833729418829
0xc1f7a546505fa29e6293536878deadeda748c4e5,711,431,12625.449490349378,17.757312925948494,106.9664070513111,0.6061884669479606,0.1660083143433099
0x00ffb912f1bf01c0123869ddb92d4b6a6ad3f7ad,285,176,12093.034264980612,42.43169917537057,117.08562035355541,0.6175438596491228,0.36239889276960296
