delay_s,n_trades,match_rate,hit_rate,avg_entry_price,total_pnl,pnl_per_trade,roi
0,15663,1.0,0.5528953584881569,0.49082921430750415,247160.27375612326,15.77988085016429,0.1577988085016429
5,15581,0.9645722354149284,0.5506706886592645,0.5161637736108728,108811.41396462973,6.983596300919692,0.06983596300919692
15,15586,0.9614397536250481,0.5508148338252278,0.5164725236659607,107034.4950192022,6.86734858329284,0.0686734858329284
30,15582,0.9593762033115133,0.5506995250930561,0.516006786916434,110836.4149517668,7.113105824141112,0.07113105824141111
60,15573,0.9540229885057471,0.5504398638669492,0.5159112401818303,108768.3391732086,6.984417849689116,0.06984417849689116
300,15569,0.9224099171430407,0.5503885927162953,0.5148051644792428,103720.33494268532,6.66197796535971,0.0666197796535971
900,15544,0.8585306227483274,0.5497941327843541,0.5106203497364099,107613.35013388898,6.92314398699749,0.06923143986997489
3600,15577,0.6566733003787636,0.5506195031135649,0.5025522092988683,137738.09175477037,8.842401730421157,0.08842401730421158
21600,15661,0.2718217227507822,0.5528382606474682,0.4927411864728503,240189.16353052223,15.336770546614025,0.15336770546614023
