prediction_id,timestamp,open,high,low,close,volume,trade_count
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-09T02:00:00.000000000+0000,0.32000003126437837,0.52,0.32000003126437837,0.52,164.838234,6
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-09T03:00:00.000000000+0000,0.51,0.51,0.15,0.16,1475.519127,25
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-09T04:00:00.000000000+0000,0.16,0.16,0.16,0.16,300.52,5
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-09T05:00:00.000000000+0000,0.14,0.16,0.14,0.14,110.0,3
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-09T06:00:00.000000000+0000,0.19,0.22999995918309435,0.15,0.17,228.75772099999995,14
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-09T07:00:00.000000000+0000,0.16000000472640413,0.18999996902173744,0.16,0.18999996902173744,114.882982,10
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-09T08:00:00.000000000+0000,0.16,0.16,0.08,0.09,419.40845499999995,13
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-09T09:00:00.000000000+0000,0.13,0.16,0.13,0.16,75.9,2
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-09T10:00:00.000000000+0000,0.18,0.25,0.18,0.24,175.0,3
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-09T11:00:00.000000000+0000,0.18,0.18,0.1,0.14,359.114823,10
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-09T12:00:00.000000000+0000,0.2,0.25,0.18,0.25,278.33000000000004,10
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-09T13:00:00.000000000+0000,0.28,0.310000009938272,0.2,0.2,701.323267,20
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-09T14:00:00.000000000+0000,0.19,0.21,0.12,0.17,580.217776,23
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-09T15:00:00.000000000+0000,0.1799999757717433,0.4,0.17,0.4,867.242182,26
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-09T16:00:00.000000000+0000,0.4,0.53,0.25,0.33,5168.181192000002,143
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-09T17:00:00.000000000+0000,0.3799992399964533,0.6,0.31,0.6,1121.4524699999997,45
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-09T18:00:00.000000000+0000,0.51,0.8100000263673487,0.51,0.8100000263673487,855.3643649999998,50
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-09T19:00:00.000000000+0000,0.83,0.93,0.82,0.91,1737.5504409999999,45
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-09T20:00:00.000000000+0000,0.92,0.92,0.7,0.7,1467.839045,15
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-09T21:00:00.000000000+0000,0.6600000528686386,0.8900000968000116,0.65,0.85,1181.78892,18
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-09T22:00:00.000000000+0000,0.8599998761599683,0.8599998761599683,0.570000049450019,0.570000049450019,302.61244,14
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-09T23:00:00.000000000+0000,0.73,0.75,0.55,0.69,3323.4638709999995,45
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-10T00:00:00.000000000+0000,0.71,0.75,0.47,0.47,2202.1245089999998,41
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-10T01:00:00.000000000+0000,0.529999998539796,0.5299999994066485,0.33,0.5299999574581832,2294.940891,40
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-10T02:00:00.000000000+0000,0.46,0.78,0.41,0.62,888.07288,37
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-10T03:00:00.000000000+0000,0.6500001529720948,0.78,0.6500001529720948,0.7,100.103893,9
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-10T04:00:00.000000000+0000,0.72,0.8,0.7,0.78,619.460596,22
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-10T05:00:00.000000000+0000,0.7100001886408371,0.7100001886408371,0.26,0.35,1624.713656,42
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-10T06:00:00.000000000+0000,0.37,0.48,0.19,0.24,1530.4241309999998,39
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-10T07:00:00.000000000+0000,0.28,0.28999999533251514,0.08000000027451215,0.18000009111160717,2512.424156,56
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-10T08:00:00.000000000+0000,0.28,0.29,0.18,0.2,1387.684702,44
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-10T09:00:00.000000000+0000,0.19,0.2,0.013,0.068,10521.276446000002,121
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-10T10:00:00.000000000+0000,0.047,0.118,0.042,0.08,3484.494059,64
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-10T11:00:00.000000000+0000,0.097,0.097,0.01,0.013,10495.11269,73
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-10T12:00:00.000000000+0000,0.009,0.02,0.003,0.01,39603.239581,95
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-10T13:00:00.000000000+0000,0.008,0.029,0.002,0.008,18404.752561,57
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-10T14:00:00.000000000+0000,0.014999995077506588,0.028,0.001,0.02,9627.808099,34
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-10T15:00:00.000000000+0000,0.02,0.909,0.02,0.861,42958.07234299999,237
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-10T16:00:00.000000000+0000,0.874,0.961,0.001,0.002,63675.329448,315
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-10T17:00:00.000000000+0000,0.0069999930419999586,0.0069999930419999586,0.001,0.001,3496.337142,12
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-10T18:00:00.000000000+0000,0.005,0.01,0.001,0.001,4686.669999999999,10
21753958126665232343237589039315962281217997266372905884216865700916348861451,2026-03-10T19:00:00.000000000+0000,0.01,0.01,0.01,0.01,100.0,1
