date,daily_pnl,cum_pnl
2024-05-20,40.84507066703091,40.84507066703091
2024-05-25,20.48192771084336,61.326998377874276
2024-06-02,-106.75105359853467,-45.42405522066039
2024-06-28,-166.66666482488853,-212.09072004554892
2024-07-09,-100.0,-312.0907200455489
2024-07-11,61.290322580645174,-250.8003974649037
2024-07-20,-200.0,-450.8003974649037
2024-08-08,-200.0,-650.8003974649037
2024-10-02,13.636364162981218,-637.1640333019225
2024-10-11,30.26315899685934,-606.9008743050631
2024-10-20,667.7419354838709,60.84106117880776
2024-10-21,850.000003376286,910.8410645550938
2024-10-27,5506.089751366766,6416.93081592186
2024-10-31,-100.0,6316.93081592186
2024-11-01,405.40346396360445,6722.334279885465
2024-11-02,2713.5770802946,9435.911360180064
2024-11-03,-200.0,9235.911360180064
2024-11-04,-400.0,8835.911360180064
2024-11-08,-722.2222222222222,8113.689137957841
2024-11-10,77.77777777777777,8191.466915735618
2024-11-11,85.26643920846928,8276.733354944088
2024-11-13,727.403846153846,9004.137201097934
2024-11-15,3371.506523510455,12375.643724608388
2024-11-16,4274.512024049219,16650.155748657606
2024-11-17,241.558447916317,16891.71419657392
2024-11-18,11.111111111111043,16902.82530768503
2024-11-19,-100.0,16802.82530768503
2024-11-20,-200.0,16602.82530768503
2024-11-21,69.49152542372879,16672.316833108758
2024-11-23,21.95121951219512,16694.26805262095
2024-11-26,382.33900673939036,17076.607059360344
2024-11-27,-471.77831240947825,16604.828746950865
2024-11-29,-88.88888888888889,16515.939858061975
2024-11-30,-211.85737976782752,16304.082478294147
2024-12-01,-1100.0,15204.082478294147
2024-12-02,-213.5730653974969,14990.50941289665
2024-12-03,-1352.628544295211,13637.88086860144
2024-12-04,-266.66666666666663,13371.214201934774
2024-12-05,-1973.4177215189873,11397.796480415787
2024-12-06,1128.985507246377,12526.781987662165
2024-12-07,-84.61475409929038,12442.167233562875
2024-12-08,4672.976548327741,17115.143781890616
2024-12-09,-923.7071172555044,16191.436664635112
2024-12-10,-248.00817160367717,15943.428493031435
2024-12-11,95.33190748480447,16038.76040051624
2024-12-12,7516.676796110297,23555.437196626535
2024-12-13,-1000.0,22555.437196626535
2024-12-14,-291.42951094642024,22264.007685680113
2024-12-15,2821.4426302915026,25085.450315971615
2024-12-16,2868.7203866823543,27954.17070265397
2024-12-18,289.6551724137931,28243.825875067763
2024-12-19,1527.9566562051555,29771.78253127292
2024-12-20,-1046.978389749474,28724.804141523444
2024-12-21,-1418.549541577942,27306.254599945503
2024-12-22,-543.0284748143881,26763.226125131114
2024-12-23,-1269.8459348912354,25493.380190239877
2024-12-25,840.9901226982424,26334.37031293812
2024-12-26,1796.5125765491018,28130.882889487224
2024-12-27,3600.381392518631,31731.264282005854
2024-12-28,19028.50746068842,50759.77174269427
2024-12-29,-2656.1153257346846,48103.65641695959
2024-12-30,-9423.938691465508,38679.717725494076
2024-12-31,2123.6374208789844,40803.35514637306
2025-01-01,-400.0,40403.35514637306
2025-01-02,-4301.544341475817,36101.81080489724
2025-01-03,1443.2889140240816,37545.09971892132
2025-01-04,-2443.438136847678,35101.66158207365
2025-01-05,-2894.128787878788,32207.53279419486
2025-01-06,4014.0710752519544,36221.603869446815
2025-01-07,891.0865221864987,37112.69039163331
2025-01-08,-3753.9861573955395,33358.70423423777
2025-01-09,-3672.431251206043,29686.272983031726
2025-01-10,-4247.563918006529,25438.709065025196
2025-01-11,11001.801167840915,36440.51023286611
2025-01-12,-1259.7364317898644,35180.77380107625
2025-01-13,967.7996917606628,36148.57349283691
2025-01-14,-8216.89013709766,27931.683355739253
2025-01-15,2134.4263135488195,30066.10966928807
2025-01-16,6724.091383747434,36790.201053035504
2025-01-17,18521.66159772149,55311.86265075699
2025-01-18,11012.252202057116,66324.1148528141
2025-01-19,-3295.511306422452,63028.603546391656
2025-01-20,2165.235072828447,65193.8386192201
2025-01-21,2172.9056741522354,67366.74429337234
2025-01-22,-6234.055636715867,61132.68865665647
2025-01-23,-1044.558939272893,60088.12971738358
2025-01-24,2711.1715997504375,62799.30131713401
2025-01-25,-4907.449625091048,57891.85169204297
2025-01-26,2567.1103855463434,60458.96207758931
2025-01-27,6792.416570841032,67251.37864843034
2025-01-28,-4046.3200696041954,63205.058578826145
2025-01-29,-9925.32350419403,53279.73507463212
2025-01-30,-7056.780944971722,46222.95412966039
2025-01-31,7389.019769253436,53611.97389891383
2025-02-01,37188.30492968649,90800.27882860032
2025-02-02,483.98065570864145,91284.25948430896
2025-02-03,-1976.5903345470792,89307.66914976189
2025-02-04,5876.42402486358,95184.09317462546
2025-02-05,-970.2559253901122,94213.83724923535
2025-02-06,-808.6627831688497,93405.1744660665
2025-02-07,3148.4737426939823,96553.64820876048
2025-02-08,-2164.236756478582,94389.4114522819
2025-02-09,-778.28225490157,93611.12919738033
2025-02-10,-1841.2444679792713,91769.88472940106
2025-02-11,-2740.853301102177,89029.03142829888
2025-02-12,2635.769195419453,91664.80062371834
2025-02-13,2432.70203521457,94097.5026589329
2025-02-14,257.1428571428571,94354.64551607576
2025-02-15,552.5394086098341,94907.1849246856
2025-02-16,300.00000149624987,95207.18492618186
2025-02-18,2282.6215424873267,97489.80646866918
2025-02-19,-566.5782579412466,96923.22821072793
2025-02-20,6411.591853272226,103334.82006400016
2025-02-21,-2618.008474576271,100716.81158942389
2025-02-22,2066.549680761233,102783.36127018512
2025-02-23,-813.254267075697,101970.10700310943
2025-02-24,-240.63332399058606,101729.47367911885
2025-02-25,3643.142066879352,105372.6157459982
2025-02-26,1389.3328199117193,106761.94856590993
2025-02-27,-2302.654904037012,104459.29366187291
2025-02-28,-65.86168497719441,104393.43197689572
2025-03-01,-7389.394891179747,97004.03708571597
2025-03-02,7202.100088584398,104206.13717430037
2025-03-03,7502.884787783116,111709.02196208348
2025-03-04,-1466.6562469148334,110242.36571516865
2025-03-05,3471.9122412455226,113714.27795641417
2025-03-06,785.7247280199531,114500.00268443412
2025-03-07,604.910766138228,115104.91345057235
2025-03-08,3555.5487156924473,118660.4621662648
2025-03-09,-957.5838234379312,117702.87834282687
2025-03-10,574.15329768271,118277.03164050958
2025-03-11,11829.228732825137,130106.26037333472
2025-03-12,5281.338138293503,135387.59851162822
2025-03-13,3655.679980465312,139043.27849209352
2025-03-14,-7361.0543694143225,131682.2241226792
2025-03-15,5670.5227864994295,137352.74690917865
2025-03-16,1209.0933803223772,138561.84028950104
2025-03-17,6983.66490538996,145545.505194891
2025-03-18,-1802.9591402061142,143742.5460546849
2025-03-19,-4566.356100115513,139176.1899545694
2025-03-20,3751.325061229225,142927.51501579862
2025-03-21,2450.6723736822155,145378.18738948082
2025-03-22,361.42073631347154,145739.6081257943
2025-03-23,-199.70539637433683,145539.90272941996
2025-03-24,540.5874129160667,146080.49014233603
2025-03-25,2659.641767832185,148740.13191016822
2025-03-26,3652.8863923825643,152393.01830255077
2025-03-27,-4254.342112537232,148138.67619001353
2025-03-28,3731.2916961997607,151869.9678862133
2025-03-29,-823.2573173785623,151046.71056883474
2025-03-30,1043.7803486462124,152090.49091748096
2025-03-31,-426.70044258094606,151663.79047490002
2025-04-01,-501.459118955467,151162.33135594454
2025-04-02,-91.05494408259182,151071.27641186194
2025-04-03,-1243.451746539538,149827.8246653224
2025-04-04,-1393.1141714098014,148434.7104939126
2025-04-05,8397.981202324674,156832.69169623728
2025-04-06,-2219.089930154049,154613.60176608321
2025-04-07,1780.7559828020335,156394.35774888526
2025-04-08,3972.7447123512916,160367.10246123656
2025-04-09,254.91971315040826,160622.02217438698
2025-04-10,1726.6291378893166,162348.65131227628
2025-04-11,9639.360038334939,171988.01135061122
2025-04-12,2873.778112992867,174861.7894636041
2025-04-13,6897.926722281528,181759.71618588563
2025-04-14,-2579.7160896927685,179180.00009619285
2025-04-15,2767.0524550806217,181947.05255127346
2025-04-16,707.0450465678584,182654.09759784132
