ticks,slippage_usd,n,pnl_total,pnl_per_100,hit_rate
0,0.0,84181,1308956.4655324565,15.54931000501843,0.5576317696392298
1,0.01,84181,1053908.3580098713,12.519551419083538,0.5576317696392298
2,0.02,83981,818418.8970987507,9.745286399289729,0.5566854407544564
3,0.03,83748,598901.2982768833,7.151231053599886,0.555535654582796
