label,n_wallets,n_trades,pnl_total,pnl_per_100,hit_rate
Top 5,5,41453,519726.6519698968,12.537733142833975,0.5338334981786602
Top 10,10,57180,660959.1339458167,11.55927131769529,0.5357467646030081
Top 20,20,66985,807508.5546874801,12.055065383107861,0.5397775621407778
All 62 survivors,62,84181,1053908.3580098713,12.519551419083538,0.5576317696392298
